@RELATION touch

@ATTRIBUTE pressure		REAL
@ATTRIBUTE size		 	REAL
@ATTRIBUTE touchmajor	REAL
@ATTRIBUTE touchminor	REAL
@ATTRIBUTE duration		REAL
@ATTRIBUTE flytime		REAL
@ATTRIBUTE shake		REAL
@ATTRIBUTE orientation	INTEGER
@ATTRIBUTE type 		INTEGER
@ATTRIBUTE class 	{Navid,Others}

@DATA
1.0,0.017086836,4.714286,4.0,106,143,67.95336,1,1,Others
1.0,0.016666668,4.5,4.0,81,88,3.1233256,1,1,Others
1.0,0.016078431,4.4,3.8,121,0,25.371204,1,1,Others
1.0,0.01764706,4.8,4.2,106,88,43.956116,1,1,Others
1.0,0.018627452,5.0,4.5,116,96,134.00868,1,1,Others
1.0,0.01764706,5.0,4.0,95,430,22.415695,1,1,Others
1.0,0.01764706,4.75,4.25,88,204,7.9176164,1,1,Others
1.0,0.018300654,4.6666665,4.6666665,78,180,13.422427,1,1,Others
1.0,0.016470589,4.4,4.0,95,1316,82.63954,1,1,Others
1.0,0.016993465,4.6666665,4.0,84,142,171.03777,1,1,Others
1.0,0.018137256,4.75,4.5,133,245,27.610516,1,1,Others
1.0,0.014379085,4.0,3.3333333,90,49,62.424797,1,1,Others
1.0,0.015686275,4.3333335,3.6666667,133,1181,11.056045,1,1,Others
1.0,0.012745098,3.5,3.0,118,166,7.9385166,1,1,Others
1.0,0.010784315,3.0,2.5,144,1061,9.269382,1,1,Others
1.0,0.013333334,3.6,3.2,103,132,107.30945,1,1,Others
1.0,0.01882353,5.2,4.4,110,0,5.873295,1,1,Others
1.0,0.013725491,3.75,3.25,101,130,96.61865,1,1,Others
1.0,0.015032682,4.0,3.6666667,28,150,157.02274,1,1,Others
1.0,0.016176471,4.5,3.75,95,1134,16.257303,1,1,Others
1.0,0.011764706,3.3333333,2.6666667,98,310,108.13713,1,1,Others
1.0,0.016176471,4.5,3.75,94,119,5.192188,1,1,Others
1.0,0.017156864,4.75,4.0,99,92,196.438,1,1,Others
1.0,0.015686275,4.3333335,3.6666667,87,782,2.8802652,1,1,Others
1.0,0.01764706,5.0,4.0,122,64,8.804058,1,1,Others
1.0,0.01764706,5.0,4.0,98,56,16.999926,1,1,Others
1.0,0.016176471,4.5,3.75,72,675,17.824675,1,1,Others
1.0,0.016862746,4.6,4.0,115,82,10.169849,1,1,Others
1.0,0.01764706,4.75,4.25,83,84,131.94313,1,1,Others
1.0,0.017156864,4.5,4.25,86,0,136.58223,1,2,Others
1.0,0.015686275,4.3333335,3.6666667,113,55,53.900093,1,2,Others
1.0,0.017973857,4.8333335,4.3333335,129,1438,33.32573,1,2,Others
1.0,0.01764706,4.75,4.25,88,65,7.1926293,1,2,Others
1.0,0.018137256,5.0,4.25,75,1724,225.72836,1,2,Others
1.0,0.016666668,4.5,4.0,77,239,39.02126,1,2,Others
1.0,0.015196079,4.0,3.75,75,79,0.078970924,1,2,Others
1.0,0.016666668,4.5,4.0,77,0,28.751339,1,1,Others
1.0,0.014705883,4.0,3.5,136,172,39.00762,1,1,Others
1.0,0.016862746,4.6,4.0,98,39,64.66175,1,1,Others
1.0,0.018137256,5.0,4.25,122,82,49.415104,1,1,Others
1.0,0.016666668,4.5,4.0,114,1279,33.08862,1,1,Others
1.0,0.014509805,4.0,3.4,90,101,67.4666,1,1,Others
1.0,0.015294118,4.2,3.6,86,180,92.14553,1,1,Others
1.0,0.017156864,4.75,4.0,120,156,79.37381,1,1,Others
1.0,0.016666668,4.5,4.0,98,721,47.36726,1,1,Others
1.0,0.017254902,4.6,4.2,83,108,183.92155,1,1,Others
1.0,0.016993465,4.6666665,4.0,112,40,14.547188,1,1,Others
1.0,0.01764706,4.75,4.25,116,0,49.538864,1,2,Others
1.0,0.016176471,4.5,3.75,116,118,78.34671,1,2,Others
1.0,0.013071896,3.5,3.1666667,87,1046,14.683546,1,2,Others
1.0,0.014509805,4.0,3.4,112,243,6.598757,1,2,Others
1.0,0.015686275,4.3333335,3.6666667,112,1362,17.597569,1,2,Others
1.0,0.015359477,4.1666665,3.6666667,97,121,40.615387,1,2,Others
1.0,0.014117648,3.8,3.4,92,634,71.37026,1,2,Others
1.0,0.015294118,4.6,3.2,125,45,76.98874,1,2,Others
1.0,0.015686275,4.3333335,3.6666667,136,0,12.284664,1,1,Others
1.0,0.013725491,4.0,3.0,87,16,46.560913,1,1,Others
1.0,0.014379085,4.0,3.3333333,71,272,20.438675,1,1,Others
1.0,0.015686275,4.25,3.75,80,326,10.600215,1,1,Others
1.0,0.016013073,4.3333335,3.8333333,110,45,16.78603,1,1,Others
1.0,0.014509805,4.0,3.4,131,52,1.046317,1,1,Others
1.0,0.012418301,3.6666667,2.6666667,80,42,169.88788,1,1,Others
1.0,0.013071896,3.6666667,3.0,96,0,9.686606,1,2,Others
1.0,0.014705883,4.0,3.5,72,162,88.71593,1,2,Others
1.0,0.016666668,4.5,4.0,88,745,86.47007,1,2,Others
1.0,0.013333334,3.8,3.0,95,442,2.492719,1,2,Others
1.0,0.017254902,4.8,4.0,81,1089,137.32365,1,2,Others
1.0,0.01764706,4.5,4.5,58,80,57.86472,1,2,Others
1.0,0.016666668,4.5,4.0,69,279,47.083492,1,2,Others
1.0,0.018627452,5.0,4.5,70,637,46.573364,1,2,Others
1.0,0.018627452,5.0,4.5,78,0,51.460938,1,2,Others
1.0,0.017254902,5.0,3.8,71,229,83.99491,1,2,Others
1.0,0.016470589,4.6,3.8,66,88,23.863941,1,2,Others
1.0,0.015686275,4.25,3.75,89,1146,162.52771,1,2,Others
1.0,0.015686275,4.3333335,3.6666667,72,103,52.1426,1,2,Others
1.0,0.016666668,4.5,4.0,90,1043,41.943314,1,2,Others
1.0,0.01764706,4.5,4.5,80,87,26.120636,1,2,Others
1.0,0.019607844,5.0,5.0,94,0,56.977142,1,2,Others
1.0,0.018627452,5.0,4.5,115,113,11.73827,1,2,Others
1.0,0.016993465,5.0,3.6666667,119,846,48.703403,1,2,Others
1.0,0.017156864,5.0,3.75,108,61,59.04061,1,2,Others
1.0,0.01721133,4.7777777,4.0,214,1332,58.240616,1,2,Others
1.0,0.015686275,4.25,3.75,123,1071,45.294083,1,2,Others
1.0,0.01764706,4.5,4.5,54,24,45.294083,1,2,Others
1.0,0.013071896,3.6666667,3.0,43,0,122.922035,1,1,Others
1.0,0.013333334,3.6,3.2,81,547,39.886707,1,1,Others
1.0,0.014542484,4.0,3.4166667,274,187,50.68889,1,1,Others
1.0,0.01633987,4.3333335,4.0,77,105,89.383896,1,1,Others
1.0,0.015196079,4.25,3.5,114,118,161.28812,1,1,Others
1.0,0.015294118,4.2,3.6,97,39,55.654774,1,1,Others
1.0,0.014215687,4.25,3.0,68,930,32.100174,1,1,Others
1.0,0.013725491,4.0,3.0,78,92,59.11178,1,1,Others
1.0,0.014215687,4.25,3.0,88,92,53.12468,1,1,Others
1.0,0.014379087,4.0,3.3333333,78,82,2.6194253,1,1,Others
1.0,0.015686275,4.5,3.5,111,607,97.45325,1,1,Others
1.0,0.016176471,4.5,3.75,87,147,144.8931,1,1,Others
1.0,0.01372549,3.6666667,3.3333333,217,98,68.565674,1,1,Others
1.0,0.016666668,5.0,3.5,86,0,2.6453068,1,2,Others
1.0,0.016176471,4.5,3.75,67,63,38.70425,1,2,Others
1.0,0.015686275,4.2,3.8,81,72,35.687614,1,2,Others
1.0,0.014901961,4.2,3.4,84,970,1.4659336,1,2,Others
1.0,0.015686275,4.3333335,3.6666667,72,162,64.9837,1,2,Others
1.0,0.018039215,4.8,4.4,112,983,5.3204985,1,2,Others
1.0,0.019215686,5.2,4.6,81,119,225.4968,1,2,Others
1.0,0.018300654,5.0,4.3333335,81,80,6.352475,1,2,Others
1.0,0.015686275,4.3333335,3.6666667,105,0,45.051918,1,1,Others
1.0,0.015686275,4.3333335,3.6666667,88,211,25.151115,1,1,Others
1.0,0.018627452,5.0,4.5,82,87,11.454615,1,1,Others
1.0,0.01764706,4.6666665,4.3333335,69,1021,21.103867,1,1,Others
1.0,0.01764706,4.6666665,4.3333335,98,350,76.400215,1,1,Others
1.0,0.01764706,4.75,4.25,82,128,132.65593,1,1,Others
1.0,0.01764706,5.0,4.0,107,62,133.2808,1,1,Others
1.0,0.017927172,5.142857,4.0,136,74,43.960827,1,1,Others
1.0,0.01503268,4.0,3.6666667,89,0,153.63304,1,1,Others
1.0,0.014117648,3.8,3.4,74,118,181.73482,1,1,Others
1.0,0.015686275,4.3333335,3.6666667,95,1438,89.95056,1,1,Others
1.0,0.014379085,4.0,3.3333333,95,336,22.739576,1,1,Others
1.0,0.016176471,4.5,3.75,91,40,100.29481,1,1,Others
1.0,0.016993465,4.6666665,4.0,105,112,16.07566,1,1,Others
1.0,0.014705883,4.0,3.5,90,56,96.21004,1,1,Others
1.0,0.014379087,4.0,3.3333333,82,88,55.593742,1,1,Others
1.0,0.014379085,4.0,3.3333333,75,130,96.45635,1,1,Others
1.0,0.013725491,4.0,3.0,80,61,25.768616,1,1,Others
1.0,0.012418301,3.6666667,2.6666667,81,0,40.03609,1,2,Others
1.0,0.014215687,4.0,3.25,60,114,218.17017,1,2,Others
1.0,0.013725491,4.0,3.0,102,1418,107.88365,1,2,Others
1.0,0.01512605,4.428571,3.2857144,89,147,196.8806,1,2,Others
1.0,0.015686275,4.3333335,3.6666667,90,80,245.13708,1,2,Others
1.0,0.01764706,4.6666665,4.3333335,71,1315,191.289,1,2,Others
1.0,0.01764706,4.5,4.5,94,221,32.21993,1,2,Others
1.0,0.018039215,5.0,4.2,95,181,116.62132,1,2,Others
1.0,0.018039215,4.8,4.4,98,0,38.469704,1,1,Others
1.0,0.016666668,4.5,4.0,122,107,1.641315,1,1,Others
1.0,0.017320262,4.8333335,4.0,110,79,40.1944,1,1,Others
1.0,0.017156864,4.75,4.0,75,67,64.6879,1,1,Others
1.0,0.016993465,4.8333335,3.8333333,225,813,22.290873,1,1,Others
1.0,0.015686275,4.5,3.5,89,413,6.219964,1,1,Others
1.0,0.016013073,4.3333335,3.8333333,97,48,38.61689,1,1,Others
1.0,0.013725491,4.0,3.0,24,1178,6.832697,1,1,Others
1.0,0.014379085,4.0,3.3333333,86,78,89.90346,1,1,Others
1.0,0.014705883,4.25,3.25,127,164,23.90945,1,1,Others
1.0,0.01372549,4.0,3.0,86,17,13.606512,1,1,Others
1.0,0.012745099,3.5,3.0,113,0,45.06744,1,2,Others
1.0,0.011764707,3.0,3.0,87,187,16.87514,1,2,Others
1.0,0.015032682,4.0,3.6666667,45,597,95.23645,1,2,Others
1.0,0.013235295,3.75,3.0,81,93,6.539481,1,2,Others
1.0,0.016078431,4.4,3.8,136,802,17.31535,1,2,Others
1.0,0.013235295,3.5,3.25,70,67,61.46787,1,2,Others
1.0,0.013725491,3.75,3.25,71,724,33.49769,1,2,Others
1.0,0.016666668,4.5,4.0,57,177,51.78006,1,2,Others
1.0,0.016993465,4.6666665,4.0,253,0,41.25515,1,2,Others
